sample_id,scenario,true_K,method,display_name,set_rmse,set_mae,k_hat,k_acc,k_abs_err,outlier_5deg
U2_clean_K2#0017,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1357967602561331,0.1357759499322952,2,1.0,0,0.0
U2_clean_K2#0018,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.4160743750496974,0.4095636159881355,2,1.0,0,0.0
U2_clean_K2#0019,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1569297041061084,0.1188197567495101,2,1.0,0,0.0
U2_clean_K2#0020,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1753330324701116,0.1579344149415043,2,1.0,0,0.0
U2_clean_K2#0021,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1419773202798764,0.1332874948216194,2,1.0,0,0.0
U2_clean_K2#0022,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1302858252681411,0.101384633144808,2,1.0,0,0.0
U2_clean_K2#0023,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.320746037567556,0.2701196610795477,2,1.0,0,0.0
U2_clean_K2#0024,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1791753736851963,0.1769107845820303,2,1.0,0,0.0
U2_clean_K2#0025,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.125530095084567,0.1021812797261203,2,1.0,0,0.0
U2_clean_K2#0026,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.4625524571286105,0.4413629355680051,2,1.0,0,0.0
U2_clean_K2#0027,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.7346005111097852,0.598828852958114,2,1.0,0,0.0
U2_clean_K2#0028,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0640791092968628,0.062675737266669,2,1.0,0,0.0
U2_clean_K2#0029,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1804842843454829,0.1287662879276254,2,1.0,0,0.0
U2_clean_K2#0030,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.3340732212751841,0.3068900429170207,2,1.0,0,0.0
U2_clean_K2#0031,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0757431434746874,0.0751680697647962,2,1.0,0,0.0
U2_clean_K2#0032,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1887436597663774,0.1853027378003222,2,1.0,0,0.0
U2_clean_K2#0033,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0449834150916771,0.0449761201094127,2,1.0,0,0.0
